university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year
University of Melbourne,58.7,88,69.2,83.3,47.7,71,"40,128",23.7,35,2011
Peking University,76.4,68.6,61.3,72.2,98.6,70.7,"40,148",8.3,14,2011
Washington University in St Louis,58.9,56.4,63,88.6,-,69.9,"12,528",5.7,17,2011
Ìäcole Polytechnique,57.9,77.9,56.1,91.4,-,69.5,"2,429",4.8,30,2011
University of Edinburgh,59.9,67.3,61.9,86.8,42.2,69.2,"25,774",14.1,36,2011
Hong Kong University of Science and Technology,50.4,97.4,51.8,98.2,64.1,69,"11,385",23.8,36,2011
Ìäcole Normale SupÌ©rieure,66.8,44.9,48.2,95.7,30.7,68.6,"2,400",7.9,20,2011
Australian National University,51.9,93.9,62.4,81,-,67,"14,604",19.2,35,2011
Karolinska Institute,65.8,-,72.7,62.3,73.3,67,"7,774",11.5,22,2011
University of GÌ_ttingen,57.3,44.5,55.9,92.5,31.7,67,"25,581",25.6,12,2011
University of Wisconsin,55.5,43.7,64.6,83.4,-,67,,,0,2011
Rice University,57.4,31.2,50.6,99.1,29.2,66.9,"6,333",9,26,2011
Ìäcole Polytechnique FÌ©dÌ©rale de Lausanne,55,100,56.1,83.8,38,66.5,"9,666",10.5,54,2011
"University of California, Irvine",49.4,66.3,54.7,91.6,-,66,"26,614",16.1,16,2011
University of Science and Technology of China,57.5,-,48.6,92.7,30.3,66,"14,290",7.9,2,2011
Vanderbilt University,64.9,22.1,59.5,78.1,84.2,65.9,"12,161",3.6,10,2011
University of Minnesota,57.6,23,69.1,76.4,-,65.6,"46,825",18,13,2011
Tufts University,64.1,28.3,52.3,83.9,-,65.2,"10,410",10,14,2011
"University of California, Davis",57.3,60.5,70.7,68.8,48,65,"35,364",13.9,13,2011
Brown University,59.7,60.5,57,77.7,-,64.9,"8,653",10.1,19,2011
University of Massachusetts,61.3,22.6,72.6,67.9,53.9,64.7,"56,959",13,11,2011
Kyoto University,78.9,18.4,77.7,46.3,67.1,64.6,"22,809",5.6,7,2011
Tsinghua University,74.9,43,66.6,52.7,97.8,64.2,"39,763",13.7,10,2011
Boston University,53.6,38.1,51.9,91.4,29.6,64,"24,789",8.6,17,2011
New York University,62,31.8,50.7,82.9,-,63.9,"42,056",6.8,19,2011
Emory University,63.4,52.3,48.4,77.8,-,63,"12,338",4.5,18,2011
LMU Munich,59.1,43.1,57.5,76.4,40.4,63,"35,691",15.5,13,2011
University of Notre Dame,56.4,35.6,45.1,89.1,-,62.8,"11,829",13.8,10,2011
University of Pittsburgh,58.5,25.2,58.3,78.3,37.9,62.7,"26,485",5.8,10,2011
Case Western Reserve University,67.2,56.5,53.8,66,-,62.2,"9,259",6.4,17,2011
Ohio State University,63.5,64,54.9,67.2,-,62.1,"51,462",13.4,12,2011
University of Colorado Boulder,46.4,31.7,58.1,83.4,-,61.6,"29,325",16.1,8,2011
University of Bristol,49.6,67.2,53.1,80.9,36.2,61.4,"17,906",14,25,2011
"University of California, Santa Cruz",38.3,16.7,50.4,99.6,-,61.4,"17,404",22.7,1,2011
Yeshiva University,63.5,53.3,46.7,74.4,-,61.4,"6,753",5.5,7,2011
University of Sydney,49.8,89.6,61.9,64.3,90.8,61.2,"41,868",20.2,28,2011
University of Virginia,62,42.2,55.4,68.6,-,61.1,"23,845",10.2,12,2011
University of Adelaide,46.5,87.5,38.8,90.5,52.7,60.7,"20,771",30.1,26,2011
University of Southern California,65.4,31.2,48.7,71.9,-,60.7,"36,534",12.9,20,2011
William & Mary,53.1,20.9,36.1,95.6,-,60.4,"7,867",11.8,7,2011
Trinity College Dublin,47.7,84.2,45.3,84.4,31.6,60.3,"15,521",18,25,2011
King‰Ûªs College London,48.5,85.9,54.5,72.1,44.1,59.7,"21,394",11.4,37,2011
Stony Brook University,48.5,52.2,43.6,85.8,-,59.6,"21,908",10.9,24,2011
Korea Advanced Institute of Science and Technology (KAIST),71.3,36.7,63.4,45.5,100,59.5,"9,027",10,9,2011
University of Sussex,42.4,72.8,42.4,91.6,29.1,59.5,"12,001",17.4,35,2011
The University of Queensland,51.8,74.2,53.4,69,57.1,59.1,"34,718",32.7,27,2011
University of York,47.9,66.6,46.2,81.9,36.2,59.1,,,0,2011
Heidelberg University,59.2,63.4,47.5,70.3,39.1,59,"28,881",24.5,17,2011
University of Utah,55.8,22.5,54.2,72,-,59,"25,674",16.9,9,2011
Durham University,39.8,65.7,44.1,91,33.9,58.9,"15,489",15.7,24,2011
London School of Economics and Political Science,62.4,99.5,56.2,51.6,38.4,58.3,,,0,2011
University of Manchester,56.5,79.1,56.2,59.2,39,58,"34,938",15.3,34,2011
"Royal Holloway, University of London",37.7,92.9,36.2,93.2,30.5,57.9,"8,747",15.9,37,2011
Lund University,46.3,56.8,60.8,67.6,33.2,57.8,"28,251",11.5,15,2011
University of Southampton,50.8,69,47.8,72.9,37.7,57.7,"20,925",13.5,29,2011
University of Zurich,56.6,87.9,47,65,43.8,57.7,"26,583",6.5,19,2011
Wake Forest University,54.6,24.4,42.9,79.2,-,57.7,"7,326",4.6,5,2011
McMaster University,44.7,-,58.7,68.5,-,57.6,"23,823",19.3,15,2011
University College Dublin,42.4,87,36.6,86.3,-,57.5,"22,193",24.5,23,2011
George Washington University,60.6,39.6,43.1,70.2,-,57.3,"20,541",12,16,2011
University of Arizona,52.4,21.9,52.2,70.1,84.2,57.3,"36,429",12.7,8,2011
University of Basel,50.2,91.3,37.1,78.3,45.8,57.3,"12,551",17.3,24,2011
"University of Maryland, College Park",45.4,35.4,48.6,79.2,-,57.2,"31,331",8.4,9,2011
Dartmouth College,44.7,31,49.2,79.7,-,57.1,"6,178",6.6,16,2011
Ìäcole Normale SupÌ©rieure de Lyon,51.1,37.6,34.4,88.8,26.1,57,"2,218",8,14,2011
Technical University of Munich,50.4,85.3,43.2,71.2,-,56.9,"35,565",31.5,20,2011
University of Helsinki,49,24.2,51.4,75.4,30.2,56.6,"23,505",15.1,6,2011
University of St Andrews,44.8,85.7,47.7,72.9,32.6,56.5,"8,338",12.7,47,2011
Rensselaer Polytechnic Institute,50.5,48,54.6,64.9,-,56.4,"6,671",15,16,2011
"Rutgers, the State University of New Jersey",53.4,26.8,64.7,55.7,-,56.3,"37,032",17.3,8,2011
Purdue University,57,62.6,67.8,43.9,-,56.2,"39,256",18.1,22,2011
National Tsing Hua University,52.2,34.1,52.6,66.9,50.2,56.1,"10,221",13.5,5,2011
University of Cape Town,36.6,83.3,42.1,82.8,-,56.1,"20,040",12.1,18,2011
Pennsylvania State University,46.3,19.9,49.2,77.6,44,56,"44,501",12.4,12,2011
Seoul National University,62.3,44.9,54.1,54.6,43,56,"26,389",13.9,10,2011
Hong Kong Baptist University,32.9,71.8,32.5,97.6,26.7,55.6,"10,441",11,25,2011
Bilkent University,34.3,47.7,36.1,95.7,32.4,55.4,,,0,2011
Tokyo Institute of Technology,62.9,24.8,63.4,45.5,60.5,55.4,"9,586",7.3,13,2011
Eindhoven University of Technology,55.4,44.9,51.7,56.9,99.8,55.3,"8,176",16,14,2011
National Taiwan University,50.3,29.2,59,61.6,35.7,55.2,"31,891",11.9,7,2011
University of Hawai‰Ûªi at M€Ånoa,38.3,34.2,47.6,81,-,55.2,,,0,2011
"University of California, Riverside",38.6,63,47.4,78.3,30.5,55.1,"20,626",22,12,2011
University of Geneva,46.6,95.7,49.7,63.1,32.7,55,"15,668",15,39,2011
KU Leuven,57.7,29.6,62.9,45.2,97.7,54.8,"42,503",41.9,18,2011
Nanjing University,52.2,50.2,46.2,66,43.4,54.6,"29,743",13.3,10,2011
Queen Mary University of London,39.7,91,44.1,73.5,38.9,54.6,"14,260",14,40,2011
Michigan State University,50.4,30.4,52.7,63.7,-,54.5,"44,750",15.7,15,2011
Technical University of Denmark,46.2,64,46.9,64.6,95.5,54.5,"9,990",5,18,2011
Ghent University,52.8,24.7,59.1,52.8,97.1,54.4,"32,166",34.1,9,2011
Lancaster University,43.5,73.8,41.9,74.9,28.8,54.4,"11,512",14.9,33,2011
Leiden University,47.3,40,54.9,59.3,100,54.4,"21,222",17.1,10,2011
University of Alberta,53.7,71.6,58,49.7,44.5,54.3,"36,299",21.6,23,2011
University of Glasgow,45.6,55.1,50.3,65.1,61,54.2,"22,616",16,29,2011
Stockholm University,36.9,-,49.2,75.9,31.7,54,"31,715",23.7,8,2011
Osaka University,61.7,20.1,63.4,40,73.4,53.4,"23,144",7.8,9,2011
University of Victoria,32.9,-,48.3,79.1,27.4,53.4,"17,581",21.5,11,2011
Tohoku University,60.3,20.1,62.5,41.2,82.3,53.3,"17,200",5,7,2011
University of Freiburg,52.4,46.2,41.4,64.3,79.8,53.3,"26,467",31.2,16,2011
University of Iowa,48.6,31.7,59.8,54.8,-,53.3,"27,526",11.6,11,2011
University of Bergen,39.9,66.6,42.1,73.1,41.5,52.7,"11,623",11.1,12,2011
University of Lausanne,43.1,84.1,50.5,59.1,42.5,52.6,"11,964",13.1,22,2011
University of Sheffield,48.9,62.7,49.2,58.4,40.3,52.5,"23,311",15.5,31,2011
University of Montreal,56.1,-,49.4,51.9,-,52.4,"38,264",20.3,25,2011
VU University Amsterdam,47.6,30.6,51.6,58.5,81.4,52.3,"23,280",16.3,6,2011
Pierre and Marie Curie University,51.9,30.7,37.2,71.5,26.4,52.2,"27,862",8.7,18,2011
University of Dundee,34.1,54.4,41,79.3,49.3,52.2,"11,628",15.3,25,2011
University of Barcelona,34.1,22.3,33.7,91.9,30,52.1,"47,491",12.2,10,2011
Utrecht University,43.4,52.6,53,58.8,55.3,52,"30,779",15.4,7,2011
Wageningen University and Research Center,58.5,24.3,48.8,53,-,51.9,"9,248",17,21,2011
University of Auckland,34.8,94.3,39.2,71.8,61.1,51.8,"29,787",18.9,28,2011
University of Birmingham,50.3,73.8,50.7,52.1,34.8,51.8,"25,295",16.4,23,2011
Alexandria University,29.5,19.3,28,99.8,36,51.6,"127,431",23.3,1,2011
Uppsala University,49.6,77.9,62.2,40.7,39.5,51.6,"25,266",18.2,12,2011
Hong Kong Polytechnic University,39.4,82.9,45.7,62.4,57.2,51.4,"22,064",25.9,26,2011
University of Aberdeen,37.8,86.1,45.2,64.6,47,51.4,"12,938",15.8,33,2011
Delft University of Technology,55.5,47.4,67.7,29,99.4,51.3,"15,920",19.4,25,2011
"Birkbeck, University of London",41.2,88.5,35.8,70.6,27.4,51.2,"9,454",17.2,38,2011
Newcastle University,42.7,80.5,42.8,63.6,31.1,51.2,"20,174",15.2,29,2011
University of New South Wales,49.5,70.7,48.9,51.2,60,51.2,"38,309",25.9,33,2011
Pompeu Fabra University,35,44.1,33,84.7,40,51.1,"10,901",18.3,13,2011
Indiana University,48.5,37.7,42.5,63.2,-,51,"62,468",13.6,13,2011
Iowa State University,49.3,23.2,49.6,58.2,49.6,51,"29,991",17.4,11,2011
Georgia Health Sciences University,67.3,16.3,41.7,48.9,50.1,50.7,,,0,2011
Erasmus University Rotterdam,39.4,58.6,43.6,65.5,-,50.4,"20,580",18.9,18,2011
University of Delaware,38.4,16.8,51.9,61.3,100,50.4,"19,262",15.9,10,2011
Arizona State University,43,24.1,44.1,66.9,-,50.3,"83,236",29.9,9,2011
Boston College,40.1,31.6,33.6,78,-,50.3,"13,216",17.4,19,2011
National Sun Yat-Sen University,46.1,21.3,50.6,58.9,37.5,50.2,"9,336",19.6,4,2011
Georgetown University,65.1,24.7,44.7,45,-,50.1,"15,408",8.5,14,2011
University of Amsterdam,42.5,38.2,49.2,60.2,38.8,50,"24,570",14.4,11,2011
University of Liverpool,40.8,59.8,47.8,59.6,40.6,50,"18,815",13.6,30,2011
Aarhus University,38.1,33.4,55.6,57.3,61.5,49.9,"23,895",13.6,14,2011
University of Leeds,46.2,50,48,55.6,38.3,49.8,"27,703",14.7,21,2011
University of WÌ_rzburg,48.7,40.3,40.9,60.4,-,49.8,"26,576",38.4,8,2011
University of Groningen,41.7,35.5,56.4,54.1,34.2,49.7,"24,556",25.6,12,2011
Sun Yat-sen University,46.2,29.3,34.7,70.2,41.2,49.6,"51,351",16.6,8,2011
Goethe University Frankfurt,39.2,56.1,37.3,69.5,41.6,49.4,"31,861",9.3,15,2011
Bielefeld University,39.9,-,35.7,70.4,-,49.3,"21,428",67.8,8,2011
Nanyang Technological University,43.6,96.3,51.7,45,40,49,"25,028",16.2,33,2011
University of East Anglia,42.1,62.8,40.4,62.8,29.7,49,"14,992",14.7,28,2011
University of Nottingham,46.8,74.8,44.1,52.5,38.4,49,"30,144",15,27,2011
University of Copenhagen,44.1,45.8,45.7,58.3,26.1,48.8,"27,545",4.1,19,2011
Humboldt University of Berlin,50.9,46.1,44.5,52,27.8,48.5,"29,987",52.5,16,2011
Monash University,39.4,87.1,38.8,60.5,40.8,48.5,"50,882",40.5,36,2011
University of Bonn,46.8,46.8,33.8,65.3,29.4,48.5,"32,474",70.4,13,2011
National Chiao Tung University,53.2,57.9,54.4,32.9,98.7,48.3,"12,646",16.6,5,2011
RWTH Aachen University,50,63.8,42.5,48.9,56.6,48.2,"37,917",27.6,16,2011
Middle East Technical University,39.5,27.2,39.5,66.4,43.9,47.7,"25,779",22.2,7,2011
University of Exeter,40.4,62.8,42.5,57.9,32.2,47.6,"17,755",18.8,28,2011
University of Twente,49.9,62.4,48.3,42,49.8,47.5,"6,631",12,26,2011
University of Konstanz,42.7,93.6,40.1,51.3,-,47.3,"10,930",59.1,12,2011
Karlsruhe Institute of Technology,45,47.3,35.4,60.7,40,47.2,"25,294",24.6,16,2011
University of Innsbruck,37.9,99.5,34.8,60.2,35,47.2,"18,209",16.9,39,2011
University of TÌ_bingen,45.9,57.8,36.3,57.3,32.3,47,"28,327",38.9,12,2011
Drexel University,45,60.6,35.9,58.2,27.4,46.9,"20,713",10.8,18,2011
University of Cincinnati,43.6,18.9,40.4,61.5,32.5,46.9,"36,108",15.7,6,2011
Yonsei University,43,28,48.7,52.2,40.4,46.9,"24,774",11.6,14,2011
Dalhousie University,41.6,44.9,50.2,48.8,-,46.8,"15,064",14.4,18,2011
KTH Royal Institute of Technology,49.1,64.2,56.2,29.2,100,46.8,"12,062",14.6,21,2011
University of Vienna,47.6,63.2,45.7,45.6,27,46.7,"34,651",20.5,25,2011
Kent State University,33.5,15.9,33.3,76.8,26.3,46.5,"23,122",19,8,2011
University of Illinois at Chicago,57.8,51.8,46.8,34.7,-,46.4,"24,313",9.2,17,2011
Zhejiang University,54.6,29.6,41.3,44.3,70.3,46.4,"47,508",15.9,5,2011
Simon Fraser University,32.9,51.9,44.2,60.2,37.9,46.2,"26,640",28.3,19,2011
Swedish University of Agricultural Sciences,43.3,-,49.5,41.7,99.9,46.2,"3,879",4.6,0,2011
California Institute of Technology,95.7,56,98.2,99.9,97,94.8,"2,243",6.9,27,2012
Harvard University,95.8,67.5,97.4,99.8,35.9,93.9,"20,152",8.9,25,2012
Stanford University,94.8,57.2,98.9,99.8,63.8,93.9,"15,596",7.8,22,2012
University of Oxford,89.5,91.9,96.6,97.9,62.1,93.6,"19,919",11.6,34,2012
Princeton University,91.5,49.6,99.1,100,81,92.9,"7,929",8.4,27,2012
University of Cambridge,90.5,85.3,94.2,97.3,55.5,92.4,"18,812",11.8,34,2012
Massachusetts Institute of Technology,92.7,79.2,87.4,100,94.4,92.3,"11,074",9,33,2012
Imperial College London,88.8,92.2,88.7,93.9,93.1,90.7,"15,060",11.7,51,2012
University of Chicago,89.4,58.8,90.8,99.4,-,90.2,"14,221",6.9,21,2012
"University of California, Berkeley",82.8,50.4,99.4,99.4,62.5,89.8,"36,186",16.4,15,2012
Yale University,92.3,55.5,91.2,96.7,34.7,89.1,"11,751",4.4,20,2012
Columbia University,89.1,67.6,81.8,97.8,-,87.5,"25,055",5.9,28,2012
"University of California, Los Angeles",85.9,41,92.5,97.3,-,87.3,"38,206",10.3,15,2012
Johns Hopkins University,78.9,59.9,86.5,97.3,100,85.8,"15,128",3.6,23,2012
ETH Zurich ‰ÛÒ Swiss Federal Institute of Technology Zurich,79.1,97.5,85.8,87.2,-,85,"18,178",14.7,37,2012
University of Pennsylvania,87,34.3,86.1,97.9,41.9,84.9,"20,376",6.5,20,2012
University College London,77.8,91.8,84.3,89,41.4,83.2,"26,607",10.7,46,2012
University of Michigan,75.4,47.2,90,94.3,53.3,82.8,"41,786",9,16,2012
University of Toronto,76.9,69,87.4,86.5,44.9,81.6,"66,198",19.5,15,2012
Cornell University,70.4,53.4,87.2,93.5,-,80.5,"21,424",10.2,19,2012
Carnegie Mellon University,65.7,55,79.5,97.4,60.7,78.4,"11,885",13.1,35,2012
Duke University,62.6,46.9,77.9,97.4,100,77.4,"15,172",4.8,17,2012
University of British Columbia,68.6,88.7,78.6,85.2,40.6,77.4,"50,152",17.6,25,2012
Georgia Institute of Technology,66.6,65,73.8,91.9,99.2,77,"19,967",20.1,26,2012
University of Washington,70.8,36.9,74,98.2,31.8,76.5,"44,020",11.8,13,2012
Northwestern University,66.3,35.3,75.5,98.6,56.6,76.2,"18,334",13.8,15,2012
University of Wisconsin-Madison,74.3,23.8,77.3,90.6,55.3,75.8,"39,655",10.8,11,2012
McGill University,72.8,81.4,78.4,77.1,35.1,75.5,"31,326",13.7,23,2012
University of Texas at Austin,69.5,38.8,76.1,89.6,57.7,74.9,"49,427",17.4,9,2012
University of Tokyo,86.1,23,80.3,69.1,76.6,74.3,"26,199",5.7,10,2012
University of Illinois at Urbana-Champaign,67.9,50.7,81.3,81.5,-,74.2,"42,727",18.7,20,2012
Karolinska Institute,69.9,82,73.8,73.1,78.5,73.1,"7,774",11.5,22,2012
"University of California, San Diego",61.4,31.5,72,97.8,51.8,73,"27,233",6.5,11,2012
University of Hong Kong,74,83.7,80.1,60.5,64.1,72.3,"19,835",17.6,38,2012
"University of California, Santa Barbara",55,52.6,65.3,99.9,85,72.1,"22,020",27.3,11,2012
University of Edinburgh,63,79.8,61.4,92.3,41.3,72,"25,774",14.1,36,2012
University of Melbourne,62.2,82.5,72.4,80.7,44.4,71.9,"40,128",23.7,35,2012
Australian National University,62.8,93.8,75.1,72.6,41.7,71.2,"14,604",19.2,35,2012
"University of California, Davis",68,51.4,68.7,83.4,52.5,71.2,"35,364",13.9,13,2012
National University of Singapore,65.7,93,79,63.4,60.7,70.9,"31,592",15.5,34,2012
Washington University in St Louis,64,45.7,58.9,96.1,-,70.5,"12,528",5.7,17,2012
University of Minnesota,66.1,25.6,72.5,85.4,-,70,"46,825",18,13,2012
University of North Carolina at Chapel Hill,67.6,20.2,62.6,92.6,35.5,69.3,"26,518",7.3,8,2012
New York University,60.2,38.1,65.4,92.3,30.9,69,"42,056",6.8,19,2012
LMU Munich,63.8,54.3,59.9,84.6,40.7,67.6,"35,691",15.5,13,2012
Ìäcole Polytechnique FÌ©dÌ©rale de Lausanne,53.1,98.9,43.9,95.3,46.7,66.3,"9,666",10.5,54,2012
London School of Economics and Political Science,66.4,96,75.4,50.6,41.1,66,,,0,2012
University of Manchester,59,80.4,61.1,75.6,37.7,65.7,"34,938",15.3,34,2012
Brown University,59.8,33.4,53.6,93.9,34.9,65.6,"8,653",10.1,19,2012
Peking University,82.3,51.7,64.1,51,99.9,65.6,"40,148",8.3,14,2012
Pennsylvania State University,53.5,29.5,66.7,83.4,61.6,64.9,"44,501",12.4,12,2012
Kyoto University,76.4,21.1,72,56.3,71.7,64.8,"22,809",5.6,7,2012
Pohang University of Science and Technology,56.4,25,51.9,92.3,100,64.6,"3,055",10.1,4,2012
Boston University,60.7,37.2,46.2,95.6,27.6,64.2,"24,789",8.6,17,2012
University of Southern California,65.8,41.1,48.7,80.2,99.3,64,"36,534",12.9,20,2012
King‰Ûªs College London,49.8,90,54.2,80.9,40.8,63.2,"21,394",11.4,37,2012
Ohio State University,61.8,42.2,56.2,77.5,49.9,63,"51,462",13.4,12,2012
University of Sydney,55.4,88.1,65.7,57.2,92.1,62.4,"41,868",20.2,28,2012
University of Pittsburgh,54.3,26.5,53.9,88.7,37.5,62,"26,485",5.8,10,2012
Ìäcole Normale SupÌ©rieure,56.6,66.2,33.5,96.4,44.7,62,"2,400",7.9,20,2012
University of Zurich,56.7,87.4,45.9,78.4,43.5,61.9,"26,583",6.5,19,2012
Hong Kong University of Science and Technology,51,80.1,58.6,71,59,61.7,"11,385",23.8,36,2012
Ìäcole Polytechnique,50.4,86.1,38.8,89.1,63,61.5,"2,429",4.8,30,2012
University of Massachusetts,54,27.3,58.3,80.1,53.2,61.1,"56,959",13,11,2012
McMaster University,41.9,72,49.9,85.5,97.5,61,"23,823",19.3,15,2012
University of Bristol,44.2,73.7,47.7,89.9,34.8,60.9,"17,906",14,25,2012
KU Leuven,52.5,56.7,64.7,63,99.9,60.8,"42,503",41.9,18,2012
Utrecht University,42.8,58.1,53.2,85.7,59.3,60.4,"30,779",15.4,7,2012
University of GÌ_ttingen,51.4,48,50.9,84.1,32.7,60.3,"25,581",25.6,12,2012
Vanderbilt University,52.1,26.8,47.6,86.8,64.4,59.6,"12,161",3.6,10,2012
Tsinghua University,74.1,33.4,70.1,37.4,99.8,59.5,"39,763",13.7,10,2012
Rice University,45.9,39.7,38,99.9,36.2,59,"6,333",9,26,2012
Heidelberg University,57.1,62.3,41.5,78.5,37.6,58.7,"28,881",24.5,17,2012
The University of Queensland,47.5,80.8,52.3,70.2,62.6,58.6,"34,718",32.7,27,2012
Emory University,48.4,37.3,39.8,90.9,34.4,57.4,"12,338",4.5,18,2012
Wageningen University and Research Center,50.1,75.9,47.6,66.3,100,57.4,"9,248",17,21,2012
Tufts University,45.8,41.3,37.4,94.5,35.4,57.3,"10,410",10,14,2012
University of Colorado Boulder,39.5,30.8,42.6,98.2,-,57.3,"29,325",16.1,8,2012
Leiden University,45.4,54.4,55.3,71.7,48.6,57,"21,222",17.1,10,2012
Lund University,40.4,61.2,58.5,72.8,32.6,56.9,"28,251",11.5,15,2012
"Rutgers, the State University of New Jersey",51.6,25.3,60,69,-,56.8,"37,032",17.3,8,2012
University of Rochester,47,45.7,33.5,94.5,36.4,56.8,"9,390",4.5,26,2012
Durham University,32.5,75.8,37.9,96.2,30.5,56.4,"15,489",15.7,24,2012
Pierre and Marie Curie University,56.3,66.7,30.5,81.1,26.2,56,"27,862",8.7,18,2012
University of St Andrews,37.1,89.1,40.2,83,34.1,55.7,"8,338",12.7,47,2012
"University of California, Irvine",36.2,36.3,42.3,93.5,45.6,55.4,"26,614",16.1,16,2012
Uppsala University,47.2,59.1,65.1,53.3,43.4,55.2,"25,266",18.2,12,2012
Technical University of Munich,50,65.2,37.1,76.3,47.2,55.1,"35,565",31.5,20,2012
University of Notre Dame,42.6,33.1,36.2,94.1,27.3,55,"11,829",13.8,10,2012
Dartmouth College,44.8,30.6,38.7,89.9,-,54.9,"6,178",6.6,16,2012
University of Helsinki,39.3,46.8,54.2,75.1,28.9,54.8,"23,505",15.1,6,2012
University of Amsterdam,41.7,56.4,54.7,68.3,42.5,54.7,"24,570",14.4,11,2012
Case Western Reserve University,54.2,29.9,40.2,78.4,-,54.6,"9,259",6.4,17,2012
Korea Advanced Institute of Science and Technology (KAIST),64.2,29.3,54.6,47.1,100,54.5,"9,027",10,9,2012
"University of Maryland, College Park",41.1,35.3,43.6,85.8,28.5,54.5,"31,331",8.4,9,2012
Michigan State University,47.4,34,49.6,73.6,28,54.4,"44,750",15.7,15,2012
University of Arizona,45.1,28.4,43,78.3,86,54.2,"36,429",12.7,8,2012
Purdue University,56.6,52.6,49.4,57.8,-,54,"39,256",18.1,22,2012
University of Sussex,30.6,79.8,34.8,92,28.1,53.9,"12,001",17.4,35,2012
University of Alberta,50.6,71.9,54.4,51.7,53.7,53.7,"36,299",21.6,23,2012
University of Sheffield,44.6,68.2,46,67.5,40.2,53.6,"23,311",15.5,31,2012
University of Glasgow,37.5,68.1,41,77.5,61.4,53.4,"22,616",16,29,2012
University of Cape Town,34.3,73.9,41.1,75.3,97.5,53.2,"20,040",12.1,18,2012
Delft University of Technology,53.5,71.3,66.1,31.2,100,53.1,"15,920",19.4,25,2012
University of Montreal,54.5,79.5,47,48.7,81.3,53.1,"38,264",20.3,25,2012
Ghent University,41.1,47.3,52.2,63.4,97.8,53,"32,166",34.1,9,2012
"Royal Holloway, University of London",28.6,93.3,24.1,98.2,25.9,52.9,"8,747",15.9,37,2012
Tokyo Institute of Technology,56,24.9,58.9,49.5,66.3,52.8,"9,586",7.3,13,2012
Humboldt University of Berlin,51.3,64.5,54.5,50.1,-,52.6,"29,987",52.5,16,2012
"University of California, Santa Cruz",28.5,29.8,36.6,99.9,29.5,52.5,"17,404",22.7,1,2012
